I;D
motility_egd_rt;756,0442986
motility_egd_rt;618,2863529
motility_egd_rt;561,9856046
motility_egd_rt;780,6748227
motility_egd_rt;642,3813471
motility_egd_rt;680,6419543
motility_egd_rt;383,5877611
motility_egd_rt;785,0953015
motility_egd_rt;661,2170982
motility_egd_rt;430,232699
motility_egd_rt;605,3436321
motility_egd_rt;1091,498402
motility_egd_rt;882,9708863
motility_egd_rt;963,4839109
motility_egd_rt;850,3581604
motility_egd_rt;556,2383343
motility_egd_rt;712,8702397
motility_egd_rt;852,1536477
motility_egd_rt;981,2940861
motility_egd_rt;608,8166914
motility_egd_rt;590,573088
motility_egd_rt;659,8178445
motility_egd_rt;624,5830521
motility_egd_rt;544,5784175
motility_egd_rt;629,3645681
motility_egd_rt;596,6179231
motility_egd_rt;618,786784
motility_egd_rt;729,8006588
motility_egd_rt;578,5257427
motility_egd_rt;811,3971479
motility_egd_rt;558,7591876
motility_egd_rt;721,9503129
motility_egd_rt;555,071966
motility_egd_rt;779,1534911
motility_egd_rt;930,6031963
motility_egd_rt;703,2612541
motility_egd_rt;793,9485372
motility_egd_rt;990,326633
motility_egd_rt;609,3076658
motility_egd_rt;1297,628529
motility_egd_rt;419,0894287
motility_egd_rt;894,8926484
motility_egd_rt;401,6950303
motility_egd_rt;553,3958744
motility_egd_rt;958,6245816
motility_egd_rt;711,7879328
motility_egd_rt;527,4844925
motility_egd_rt;533,7204086
motility_egd_rt;713,5950248
motility_egd_rt;439,4752369
motility_egd_rt;472,0264363
motility_egd_rt;696,4293787
motility_egd_rt;595,8617282
motility_egd_rt;899,2233121
motility_egd_rt;831,652114
motility_egd_rt;657,2795652
motility_egd_rt;1360,341132
motility_egd_rt;785,7021412
motility_egd_rt;813,991384
motility_egd_rt;1040,11146
motility_egd_rt;611,7662598
motility_egd_rt;396,4511151
motility_egd_rt;982,072949
motility_egd_rt;898,7412714
motility_egd_rt;684,9290408
motility_egd_rt;781,572703
motility_egd_rt;538,7272203
motility_egd_rt;878,1096444
motility_egd_rt;425,9103952
motility_egd_rt;517,7563247
motility_egd_rt;976,9799087
motility_egd_rt;568,2073654
motility_egd_rt;847,743382
motility_egd_rt;662,6218906
motility_egd_rt;1026,535288
motility_egd_rt;579,2923017
motility_egd_rt;2265,040748
motility_egd_rt;837,5346449
motility_egd_rt;919,5348867
motility_egd_rt;849,8585724
motility_egd_rt;821,5148202
motility_egd_rt;903,3322706
motility_egd_rt;764,0021556
motility_egd_rt;877,1403672
motility_egd_rt;441,1736187
motility_egd_rt;613,2417626
motility_egd_rt;627,8431606
motility_egd_rt;491,0383285
motility_egd_rt;621,4636009
motility_egd_rt;650,678717
motility_egd_rt;729,1691176
motility_egd_rt;518,0842813
motility_egd_rt;528,4683069
motility_egd_rt;746,0281307
motility_egd_rt;598,9865019
motility_egd_rt;851,0907124
motility_egd_rt;586,5291703
motility_egd_rt;827,8916209
motility_egd_rt;1159,829336
motility_egd_rt;531,3768066
motility_egd_rt;710,3049907
motility_egd_rt;446,9292327
motility_egd_rt;681,1522954
motility_egd_rt;851,097055
motility_egd_rt;646,5549266
motility_egd_rt;739,1211464
motility_egd_rt;696,1796114
motility_egd_rt;507,4002315
motility_egd_rt;843,0592565
motility_egd_rt;848,5219613
motility_egd_rt;422,9973541
motility_egd_rt;578,3412674
motility_egd_rt;1346,459301
motility_egd_rt;1011,167439
motility_egd_rt;567,4701562
motility_egd_rt;716,7377577
motility_egd_rt;489,0722103
motility_egd_rt;712,4336243
motility_egd_rt;987,3863992
motility_egd_rt;689,5460479
motility_egd_rt;778,8341317
motility_egd_rt;640,1940331
motility_egd_rt;727,7785673
motility_egd_rt;943,6353715
motility_egd_rt;650,713186
motility_egd_rt;1359,994922
motility_egd_rt;671,249846
motility_egd_rt;746,3468786
motility_egd_rt;817,1590236
motility_egd_rt;395,8625492
motility_egd_rt;986,4765461
motility_egd_rt;782,0031645
motility_egd_rt;726,2911526
motility_egd_rt;383,3880017
motility_egd_rt;843,7833049
motility_egd_rt;587,1870249
motility_egd_rt;760,7496555
motility_egd_rt;1240,261026
motility_egd_rt;926,6306194
motility_egd_rt;410,7466899
motility_egd_rt;385,0049448
motility_egd_rt;627,6250692
motility_egd_rt;715,452636
motility_egd_rt;711,0678141
motility_egd_rt;686,2224561
motility_egd_rt;963,0900955
motility_egd_rt;623,1313253
motility_egd_rt;440,1624703
motility_egd_rt;873,2187679
motility_egd_rt;679,033724
motility_egd_rt;783,9477376
motility_egd_rt;884,0728936
motility_egd_rt;978,2505586
motility_egd_rt;544,0648242
motility_egd_rt;592,4191827
motility_egd_rt;716,5806221
motility_egd_rt;533,1370921
motility_egd_rt;458,1164832
motility_egd_rt;694,0044682
motility_egd_rt;487,4030766
motility_egd_rt;659,6334307
motility_egd_rt;764,5175542
motility_egd_rt;1040,73174
motility_egd_rt;936,0233653
motility_egd_rt;880,4372277
motility_egd_rt;837,1056452
motility_egd_rt;477,1023164
motility_egd_rt;407,2673845
motility_egd_rt;800,0755982
motility_egd_rt;902,2724244
motility_egd_rt;970,9598287
motility_egd_rt;1110,305762
motility_egd_rt;414,476183
motility_egd_rt;898,0009768
motility_egd_rt;849,3197933
motility_egd_rt;603,1484469
motility_egd_rt;712,4541185
motility_egd_rt;1111,707938
motility_egd_rt;956,7657775
motility_egd_rt;709,1404009
motility_egd_rt;541,4714832
motility_egd_rt;1092,133461
motility_egd_rt;729,6140102
motility_egd_rt;887,7701081
motility_egd_rt;800,3879407
motility_egd_rt;424,2273636
motility_egd_rt;830,8910314
motility_egd_rt;743,733226
motility_egd_rt;587,2269021
motility_egd_rt;1062,566052
motility_egd_rt;778,4943916
motility_egd_rt;749,6348027
motility_egd_rt;992,0499193
motility_egd_rt;839,0627997
motility_egd_rt;653,5925091
motility_egd_rt;607,0806435
motility_egd_rt;715,3969538
motility_egd_rt;917,2679387
motility_egd_rt;923,8360421
motility_egd_rt;1301,907643
motility_egd_rt;778,080591
motility_egd_rt;1043,808864
motility_egd_rt;525,4950043
motility_egd_rt;814,764303
motility_egd_rt;778,4500661
motility_egd_rt;901,2048894
motility_egd_rt;981,6949819
motility_egd_rt;595,7765926
motility_egd_rt;1230,075085
motility_egd_rt;1270,713794
motility_egd_rt;699,2551959
motility_egd_rt;743,6111553
motility_egd_rt;773,8484495
motility_egd_rt;402,4695072
motility_egd_rt;684,7999264
motility_egd_rt;839,5223823
motility_egd_rt;945,8935612
motility_egd_rt;862,1096629
motility_egd_rt;402,7242596
motility_egd_rt;945,2272884
motility_egd_rt;659,8857068
motility_egd_rt;771,7560584
motility_egd_rt;598,4563421
motility_egd_rt;1426,012519
motility_egd_rt;422,7429142
motility_egd_rt;737,3354712
motility_egd_rt;1001,616559
motility_egd_rt;874,8357804
motility_egd_rt;1229,275412
motility_egd_rt;753,1312385
motility_egd_rt;865,7619162
motility_egd_rt;409,3217147
motility_egd_rt;837,6398935
motility_egd_rt;559,0788622
motility_egd_rt;894,5444307
motility_egd_rt;786,3591045
motility_egd_rt;946,0094421
motility_egd_rt;670,0089275
motility_egd_rt;658,0455126
motility_egd_rt;464,8859507
motility_egd_rt;307,3108947
motility_egd_rt;524,7955754
motility_egd_rt;585,3168994
motility_egd_rt;701,8899864
motility_egd_rt;385,9451454
motility_egd_rt;810,8949284
motility_egd_rt;685,6009055
motility_egd_rt;666,6815541
motility_egd_rt;778,9108511
motility_egd_rt;573,0910464
motility_egd_rt;440,4799276
motility_egd_rt;808,4476554
motility_egd_rt;714,5189361
motility_egd_rt;445,9777786
motility_egd_rt;497,8673864
motility_egd_rt;1392,7081
motility_egd_rt;807,6354227
motility_egd_rt;544,3240055
motility_egd_rt;424,5477153
motility_egd_rt;550,395431
motility_egd_rt;833,0710913
motility_egd_rt;634,9888301
motility_egd_rt;967,678996
motility_egd_rt;853,8795766
motility_egd_rt;1021,852231
motility_egd_rt;734,598036
motility_egd_rt;574,8564258
motility_egd_rt;541,815004
motility_egd_rt;590,5927211
motility_egd_rt;570,0868749
motility_egd_rt;404,7431559
motility_egd_rt;885,5178281
motility_egd_rt;501,4229696
motility_egd_rt;1158,261665
motility_egd_rt;798,8487255
motility_egd_rt;1112,727201
motility_egd_rt;379,5644378
motility_egd_rt;494,1796643
motility_egd_rt;870,7987476
motility_egd_rt;523,5749094
motility_egd_rt;530,2438199
motility_egd_rt;430,6472856
motility_egd_rt;853,4953939
motility_egd_rt;848,2146124
motility_egd_rt;724,3473702
motility_egd_rt;1237,298031
motility_egd_rt;1323,494847
motility_egd_rt;636,8296563
motility_egd_rt;409,0450104
motility_egd_rt;518,9648141
motility_egd_rt;587,9283277
motility_egd_rt;888,5370312
motility_egd_rt;515,6517651
motility_egd_rt;916,0198176
motility_egd_rt;1269,089756
