Position,,,,,,,,,,Template for Motility Lab,,,time(sec) for experiment in cell O1 from input box,0.25,,,copy-paste columns S-X directly into 2ptrack,9,1,0.25,248.632,10.7085,0.1815
297.13,74.2819,0.1815,um,Spot,Position,1,1000000409,409,fill,410,1,0.25,297.13,74.2819,0.1815,,,414,1,0.25,211.845,74.524,0.1815
197.804,74.5503,0.1815,um,Spot,Position,1,1000000412,412,fill,413,1,0.25,197.804,74.5503,0.1815,,,426,1,0.25,203.305,76.14,0.1815
211.845,74.524,0.1815,um,Spot,Position,1,1000000413,413,fill,414,1,0.25,211.845,74.524,0.1815,,,431,1,0.25,317.21,76.869,0.1815
203.305,76.14,0.1815,um,Spot,Position,1,1000000425,425,fill,426,1,0.25,203.305,76.14,0.1815,,,437,1,0.25,218.856,77.9212,0.1815
317.21,76.869,0.1815,um,Spot,Position,1,1000000430,430,fill,431,1,0.25,317.21,76.869,0.1815,,,448,1,0.25,257.828,79.9697,0.1815
218.856,77.9212,0.1815,um,Spot,Position,1,1000000436,436,fill,437,1,0.25,218.856,77.9212,0.1815,,,453,1,0.25,71.7158,81.6095,0.1815
257.828,79.9697,0.1815,um,Spot,Position,1,1000000447,447,fill,448,1,0.25,257.828,79.9697,0.1815,,,458,1,0.25,216.434,81.8945,0.1815
71.7158,81.6095,0.1815,um,Spot,Position,1,1000000452,452,fill,453,1,0.25,71.7158,81.6095,0.1815,,,461,1,0.25,111.053,82.6646,0.1815
216.434,81.8945,0.1815,um,Spot,Position,1,1000000457,457,fill,458,1,0.25,216.434,81.8945,0.1815,,,466,1,0.25,180.7,82.7918,0.1815
111.053,82.6646,0.1815,um,Spot,Position,1,1000000460,460,fill,461,1,0.25,111.053,82.6646,0.1815,,,468,1,0.25,17.0507,83.2619,0.1815
180.7,82.7918,0.1815,um,Spot,Position,1,1000000465,465,fill,466,1,0.25,180.7,82.7918,0.1815,,,482,1,0.25,242.99,85.9683,0.1815
17.0507,83.2619,0.1815,um,Spot,Position,1,1000000467,467,fill,468,1,0.25,17.0507,83.2619,0.1815,,,483,1,0.25,267.566,85.7779,0.1815
242.99,85.9683,0.1815,um,Spot,Position,1,1000000481,481,fill,482,1,0.25,242.99,85.9683,0.1815,,,495,1,0.25,222.489,87.355,0.1815
267.566,85.7779,0.1815,um,Spot,Position,1,1000000482,482,fill,483,1,0.25,267.566,85.7779,0.1815,,,502,1,0.25,155.446,88.7873,0.1815
222.489,87.355,0.1815,um,Spot,Position,1,1000000494,494,fill,495,1,0.25,222.489,87.355,0.1815,,,515,1,0.25,315.859,90.6431,0.1815
155.446,88.7873,0.1815,um,Spot,Position,1,1000000501,501,fill,502,1,0.25,155.446,88.7873,0.1815,,,525,1,0.25,220.192,91.496,0.1815
315.859,90.6431,0.1815,um,Spot,Position,1,1000000514,514,fill,515,1,0.25,315.859,90.6431,0.1815,,,531,1,0.25,329.538,92.8304,0.1815
220.192,91.496,0.1815,um,Spot,Position,1,1000000524,524,fill,525,1,0.25,220.192,91.496,0.1815,,,533,1,0.25,82.3663,93.9958,0.1815
329.538,92.8304,0.1815,um,Spot,Position,1,1000000530,530,fill,531,1,0.25,329.538,92.8304,0.1815,,,534,1,0.25,86.0186,93.9915,0.1815
82.3663,93.9958,0.1815,um,Spot,Position,1,1000000532,532,fill,533,1,0.25,82.3663,93.9958,0.1815,,,539,1,0.25,156.13,94.0811,0.1815
86.0186,93.9915,0.1815,um,Spot,Position,1,1000000533,533,fill,534,1,0.25,86.0186,93.9915,0.1815,,,542,1,0.25,214.262,94.5891,0.1815
156.13,94.0811,0.1815,um,Spot,Position,1,1000000538,538,fill,539,1,0.25,156.13,94.0811,0.1815,,,545,1,0.25,139.525,95.0869,0.1815
214.262,94.5891,0.1815,um,Spot,Position,1,1000000541,541,fill,542,1,0.25,214.262,94.5891,0.1815,,,547,1,0.25,28.9374,95.5143,0.1815
139.525,95.0869,0.1815,um,Spot,Position,1,1000000544,544,fill,545,1,0.25,139.525,95.0869,0.1815,,,556,1,0.25,80.1511,97.7665,0.1815
28.9374,95.5143,0.1815,um,Spot,Position,1,1000000546,546,fill,547,1,0.25,28.9374,95.5143,0.1815,,,560,1,0.25,42.5187,98.5277,0.1815
80.1511,97.7665,0.1815,um,Spot,Position,1,1000000555,555,fill,556,1,0.25,80.1511,97.7665,0.1815,,,561,1,0.25,94.3977,98.6622,0.1815
42.5187,98.5277,0.1815,um,Spot,Position,1,1000000559,559,fill,560,1,0.25,42.5187,98.5277,0.1815,,,572,1,0.25,106.304,99.4811,0.1815
94.3977,98.6622,0.1815,um,Spot,Position,1,1000000560,560,fill,561,1,0.25,94.3977,98.6622,0.1815,,,581,1,0.25,279.108,100.691,0.1815
106.304,99.4811,0.1815,um,Spot,Position,1,1000000571,571,fill,572,1,0.25,106.304,99.4811,0.1815,,,589,1,0.25,108.336,102.684,0.1815
279.108,100.691,0.1815,um,Spot,Position,1,1000000580,580,fill,581,1,0.25,279.108,100.691,0.1815,,,593,1,0.25,85.9499,102.964,0.1815
108.336,102.684,0.1815,um,Spot,Position,1,1000000588,588,fill,589,1,0.25,108.336,102.684,0.1815,,,594,1,0.25,170.502,102.992,0.1815
85.9499,102.964,0.1815,um,Spot,Position,1,1000000592,592,fill,593,1,0.25,85.9499,102.964,0.1815,,,604,1,0.25,66.2865,105.44,0.1815
170.502,102.992,0.1815,um,Spot,Position,1,1000000593,593,fill,594,1,0.25,170.502,102.992,0.1815,,,607,1,0.25,318.965,105.582,0.1815
66.2865,105.44,0.1815,um,Spot,Position,1,1000000603,603,fill,604,1,0.25,66.2865,105.44,0.1815,,,608,1,0.25,255.289,105.987,0.1815
318.965,105.582,0.1815,um,Spot,Position,1,1000000606,606,fill,607,1,0.25,318.965,105.582,0.1815,,,621,1,0.25,186.182,108.204,0.1815
255.289,105.987,0.1815,um,Spot,Position,1,1000000607,607,fill,608,1,0.25,255.289,105.987,0.1815,,,628,1,0.25,25.667,109.938,0.1815
186.182,108.204,0.1815,um,Spot,Position,1,1000000620,620,fill,621,1,0.25,186.182,108.204,0.1815,,,635,1,0.25,261.212,110.799,0.1815
25.667,109.938,0.1815,um,Spot,Position,1,1000000627,627,fill,628,1,0.25,25.667,109.938,0.1815,,,636,1,0.25,302.472,110.809,0.1815
261.212,110.799,0.1815,um,Spot,Position,1,1000000634,634,fill,635,1,0.25,261.212,110.799,0.1815,,,644,1,0.25,149.663,112.586,0.1815
302.472,110.809,0.1815,um,Spot,Position,1,1000000635,635,fill,636,1,0.25,302.472,110.809,0.1815,,,651,1,0.25,44.6496,113.537,0.1815
149.663,112.586,0.1815,um,Spot,Position,1,1000000643,643,fill,644,1,0.25,149.663,112.586,0.1815,,,653,1,0.25,266.936,113.345,0.1815
44.6496,113.537,0.1815,um,Spot,Position,1,1000000650,650,fill,651,1,0.25,44.6496,113.537,0.1815,,,657,1,0.25,58.6177,114.046,0.1815
266.936,113.345,0.1815,um,Spot,Position,1,1000000652,652,fill,653,1,0.25,266.936,113.345,0.1815,,,660,1,0.25,195.98,115.014,0.1815
58.6177,114.046,0.1815,um,Spot,Position,1,1000000656,656,fill,657,1,0.25,58.6177,114.046,0.1815,,,662,1,0.25,349.382,115.093,0.1815
195.98,115.014,0.1815,um,Spot,Position,1,1000000659,659,fill,660,1,0.25,195.98,115.014,0.1815,,,663,1,0.25,219.054,115.536,0.1815
349.382,115.093,0.1815,um,Spot,Position,1,1000000661,661,fill,662,1,0.25,349.382,115.093,0.1815,,,670,1,0.25,122.345,117.108,0.1815
219.054,115.536,0.1815,um,Spot,Position,1,1000000662,662,fill,663,1,0.25,219.054,115.536,0.1815,,,689,1,0.25,50.6338,121.035,0.1815
122.345,117.108,0.1815,um,Spot,Position,1,1000000669,669,fill,670,1,0.25,122.345,117.108,0.1815,,,695,1,0.25,285.147,121.556,0.1815
50.6338,121.035,0.1815,um,Spot,Position,1,1000000688,688,fill,689,1,0.25,50.6338,121.035,0.1815,,,704,1,0.25,340.378,123.133,0.1815
285.147,121.556,0.1815,um,Spot,Position,1,1000000694,694,fill,695,1,0.25,285.147,121.556,0.1815,,,708,1,0.25,92.612,123.797,0.1815
340.378,123.133,0.1815,um,Spot,Position,1,1000000703,703,fill,704,1,0.25,340.378,123.133,0.1815,,,718,1,0.25,34.3362,125.048,0.1815
92.612,123.797,0.1815,um,Spot,Position,1,1000000707,707,fill,708,1,0.25,92.612,123.797,0.1815,,,720,1,0.25,290.918,125.749,0.1815
34.3362,125.048,0.1815,um,Spot,Position,1,1000000717,717,fill,718,1,0.25,34.3362,125.048,0.1815,,,727,1,0.25,147.84,127.215,0.1815
290.918,125.749,0.1815,um,Spot,Position,1,1000000719,719,fill,720,1,0.25,290.918,125.749,0.1815,,,749,1,0.25,68.357,130.689,0.1815
147.84,127.215,0.1815,um,Spot,Position,1,1000000726,726,fill,727,1,0.25,147.84,127.215,0.1815,,,752,1,0.25,276.847,130.909,0.1815
68.357,130.689,0.1815,um,Spot,Position,1,1000000748,748,fill,749,1,0.25,68.357,130.689,0.1815,,,754,1,0.25,172.519,131.705,0.1815
276.847,130.909,0.1815,um,Spot,Position,1,1000000751,751,fill,752,1,0.25,276.847,130.909,0.1815,,,757,1,0.25,150.189,131.823,0.1815
172.519,131.705,0.1815,um,Spot,Position,1,1000000753,753,fill,754,1,0.25,172.519,131.705,0.1815,,,759,1,0.25,294.813,131.91,0.1815
150.189,131.823,0.1815,um,Spot,Position,1,1000000756,756,fill,757,1,0.25,150.189,131.823,0.1815,,,770,1,0.25,93.2276,134.033,0.1815
294.813,131.91,0.1815,um,Spot,Position,1,1000000758,758,fill,759,1,0.25,294.813,131.91,0.1815,,,773,1,0.25,349.666,134.199,0.1815
93.2276,134.033,0.1815,um,Spot,Position,1,1000000769,769,fill,770,1,0.25,93.2276,134.033,0.1815,,,778,1,0.25,148.119,134.823,0.1815
349.666,134.199,0.1815,um,Spot,Position,1,1000000772,772,fill,773,1,0.25,349.666,134.199,0.1815,,,786,1,0.25,176.822,136.337,0.1815
148.119,134.823,0.1815,um,Spot,Position,1,1000000777,777,fill,778,1,0.25,148.119,134.823,0.1815,,,787,1,0.25,307.092,136.173,0.1815
176.822,136.337,0.1815,um,Spot,Position,1,1000000785,785,fill,786,1,0.25,176.822,136.337,0.1815,,,789,1,0.25,114.284,137.058,0.1815
307.092,136.173,0.1815,um,Spot,Position,1,1000000786,786,fill,787,1,0.25,307.092,136.173,0.1815,,,796,1,0.25,157.73,138.065,0.1815
114.284,137.058,0.1815,um,Spot,Position,1,1000000788,788,fill,789,1,0.25,114.284,137.058,0.1815,,,799,1,0.25,237.074,138.636,0.1815
157.73,138.065,0.1815,um,Spot,Position,1,1000000795,795,fill,796,1,0.25,157.73,138.065,0.1815,,,809,1,0.25,11.4564,140.226,0.1815
237.074,138.636,0.1815,um,Spot,Position,1,1000000798,798,fill,799,1,0.25,237.074,138.636,0.1815,,,812,1,0.25,173.116,140.717,0.1815
11.4564,140.226,0.1815,um,Spot,Position,1,1000000808,808,fill,809,1,0.25,11.4564,140.226,0.1815,,,813,1,0.25,218.172,140.635,0.1815
173.116,140.717,0.1815,um,Spot,Position,1,1000000811,811,fill,812,1,0.25,173.116,140.717,0.1815,,,814,1,0.25,316.732,141.102,0.1815
218.172,140.635,0.1815,um,Spot,Position,1,1000000812,812,fill,813,1,0.25,218.172,140.635,0.1815,,,816,1,0.25,120.37,141.45,0.1815
316.732,141.102,0.1815,um,Spot,Position,1,1000000813,813,fill,814,1,0.25,316.732,141.102,0.1815,,,817,1,0.25,203.174,141.559,0.1815
120.37,141.45,0.1815,um,Spot,Position,1,1000000815,815,fill,816,1,0.25,120.37,141.45,0.1815,,,821,1,0.25,225.698,142.326,0.1815
203.174,141.559,0.1815,um,Spot,Position,1,1000000816,816,fill,817,1,0.25,203.174,141.559,0.1815,,,830,1,0.25,232.542,145.149,0.1815
225.698,142.326,0.1815,um,Spot,Position,1,1000000820,820,fill,821,1,0.25,225.698,142.326,0.1815,,,840,1,0.25,198.764,145.958,0.1815
232.542,145.149,0.1815,um,Spot,Position,1,1000000829,829,fill,830,1,0.25,232.542,145.149,0.1815,,,843,1,0.25,203.554,146.323,0.1815
198.764,145.958,0.1815,um,Spot,Position,1,1000000839,839,fill,840,1,0.25,198.764,145.958,0.1815,,,847,1,0.25,88.3088,147.419,0.1815
203.554,146.323,0.1815,um,Spot,Position,1,1000000842,842,fill,843,1,0.25,203.554,146.323,0.1815,,,852,1,0.25,282.154,148.252,0.1815
88.3088,147.419,0.1815,um,Spot,Position,1,1000000846,846,fill,847,1,0.25,88.3088,147.419,0.1815,,,853,1,0.25,136.9,148.668,0.1815
282.154,148.252,0.1815,um,Spot,Position,1,1000000851,851,fill,852,1,0.25,282.154,148.252,0.1815,,,857,1,0.25,287.634,148.863,0.1815
136.9,148.668,0.1815,um,Spot,Position,1,1000000852,852,fill,853,1,0.25,136.9,148.668,0.1815,,,863,1,0.25,33.8019,149.58,0.1815
287.634,148.863,0.1815,um,Spot,Position,1,1000000856,856,fill,857,1,0.25,287.634,148.863,0.1815,,,872,1,0.25,296.222,151.83,0.1815
33.8019,149.58,0.1815,um,Spot,Position,1,1000000862,862,fill,863,1,0.25,33.8019,149.58,0.1815,,,880,1,0.25,342.621,152.712,0.1815
296.222,151.83,0.1815,um,Spot,Position,1,1000000871,871,fill,872,1,0.25,296.222,151.83,0.1815,,,885,1,0.25,309.695,153.796,0.1815
342.621,152.712,0.1815,um,Spot,Position,1,1000000879,879,fill,880,1,0.25,342.621,152.712,0.1815,,,887,1,0.25,25.4479,154.541,0.1815
309.695,153.796,0.1815,um,Spot,Position,1,1000000884,884,fill,885,1,0.25,309.695,153.796,0.1815,,,888,1,0.25,260.474,154.587,0.1815
25.4479,154.541,0.1815,um,Spot,Position,1,1000000886,886,fill,887,1,0.25,25.4479,154.541,0.1815,,,890,1,0.25,160.571,154.77,0.1815
260.474,154.587,0.1815,um,Spot,Position,1,1000000887,887,fill,888,1,0.25,260.474,154.587,0.1815,,,898,1,0.25,9.23427,156.127,0.1815
160.571,154.77,0.1815,um,Spot,Position,1,1000000889,889,fill,890,1,0.25,160.571,154.77,0.1815,,,904,1,0.25,317.866,157.402,0.1815
9.23427,156.127,0.1815,um,Spot,Position,1,1000000897,897,fill,898,1,0.25,9.23427,156.127,0.1815,,,915,1,0.25,161.753,159.7,0.1815
317.866,157.402,0.1815,um,Spot,Position,1,1000000903,903,fill,904,1,0.25,317.866,157.402,0.1815,,,916,1,0.25,179.725,159.543,0.1815
161.753,159.7,0.1815,um,Spot,Position,1,1000000914,914,fill,915,1,0.25,161.753,159.7,0.1815,,,924,1,0.25,241.841,161.759,0.1815
179.725,159.543,0.1815,um,Spot,Position,1,1000000915,915,fill,916,1,0.25,179.725,159.543,0.1815,,,928,1,0.25,24.113,162.124,0.1815
241.841,161.759,0.1815,um,Spot,Position,1,1000000923,923,fill,924,1,0.25,241.841,161.759,0.1815,,,929,1,0.25,233.244,162.45,0.1815
24.113,162.124,0.1815,um,Spot,Position,1,1000000927,927,fill,928,1,0.25,24.113,162.124,0.1815,,,932,1,0.25,73.8711,163.043,0.1815
233.244,162.45,0.1815,um,Spot,Position,1,1000000928,928,fill,929,1,0.25,233.244,162.45,0.1815,,,935,1,0.25,212.51,163.444,0.1815
73.8711,163.043,0.1815,um,Spot,Position,1,1000000931,931,fill,932,1,0.25,73.8711,163.043,0.1815,,,937,1,0.25,186.737,163.854,0.1815
212.51,163.444,0.1815,um,Spot,Position,1,1000000934,934,fill,935,1,0.25,212.51,163.444,0.1815,,,945,1,0.25,319.275,165.725,0.1815
