Position,,,,,,,,,,Template for Motility Lab,,,time(sec) for experiment in cell O1 from input box,0.25,,,copy-paste columns S-X directly into 2ptrack,8,1,0.25,295.338,258.637,0.1815
190.717,297.071,0.1815,um,Spot,Position,1,1000000215,215,fill,216,1,0.25,190.717,297.071,0.1815,,,221,1,0.25,409.184,297.687,0.1815
231.902,296.971,0.1815,um,Spot,Position,1,1000000216,216,fill,217,1,0.25,231.902,296.971,0.1815,,,229,1,0.25,376.264,299.43,0.1815
409.184,297.687,0.1815,um,Spot,Position,1,1000000220,220,fill,221,1,0.25,409.184,297.687,0.1815,,,231,1,0.25,441.741,299.939,0.1815
376.264,299.43,0.1815,um,Spot,Position,1,1000000228,228,fill,229,1,0.25,376.264,299.43,0.1815,,,233,1,0.25,494.225,299.93,0.1815
441.741,299.939,0.1815,um,Spot,Position,1,1000000230,230,fill,231,1,0.25,441.741,299.939,0.1815,,,235,1,0.25,290.374,300.331,0.1815
494.225,299.93,0.1815,um,Spot,Position,1,1000000232,232,fill,233,1,0.25,494.225,299.93,0.1815,,,236,1,0.25,311.732,300.6,0.1815
290.374,300.331,0.1815,um,Spot,Position,1,1000000234,234,fill,235,1,0.25,290.374,300.331,0.1815,,,238,1,0.25,205.245,301.016,0.1815
311.732,300.6,0.1815,um,Spot,Position,1,1000000235,235,fill,236,1,0.25,311.732,300.6,0.1815,,,241,1,0.25,277.728,301.502,0.1815
205.245,301.016,0.1815,um,Spot,Position,1,1000000237,237,fill,238,1,0.25,205.245,301.016,0.1815,,,243,1,0.25,351.282,301.879,0.1815
277.728,301.502,0.1815,um,Spot,Position,1,1000000240,240,fill,241,1,0.25,277.728,301.502,0.1815,,,244,1,0.25,216.481,302.318,0.1815
351.282,301.879,0.1815,um,Spot,Position,1,1000000242,242,fill,243,1,0.25,351.282,301.879,0.1815,,,245,1,0.25,466.025,302.117,0.1815
216.481,302.318,0.1815,um,Spot,Position,1,1000000243,243,fill,244,1,0.25,216.481,302.318,0.1815,,,247,1,0.25,145.745,302.475,0.1815
466.025,302.117,0.1815,um,Spot,Position,1,1000000244,244,fill,245,1,0.25,466.025,302.117,0.1815,,,252,1,0.25,373.355,303.333,0.1815
145.745,302.475,0.1815,um,Spot,Position,1,1000000246,246,fill,247,1,0.25,145.745,302.475,0.1815,,,253,1,0.25,389.671,303.125,0.1815
373.355,303.333,0.1815,um,Spot,Position,1,1000000251,251,fill,252,1,0.25,373.355,303.333,0.1815,,,258,1,0.25,160.091,304.754,0.1815
389.671,303.125,0.1815,um,Spot,Position,1,1000000252,252,fill,253,1,0.25,389.671,303.125,0.1815,,,263,1,0.25,166.134,306.246,0.1815
160.091,304.754,0.1815,um,Spot,Position,1,1000000257,257,fill,258,1,0.25,160.091,304.754,0.1815,,,271,1,0.25,355.189,308.101,0.1815
166.134,306.246,0.1815,um,Spot,Position,1,1000000262,262,fill,263,1,0.25,166.134,306.246,0.1815,,,272,1,0.25,382.374,307.9,0.1815
355.189,308.101,0.1815,um,Spot,Position,1,1000000270,270,fill,271,1,0.25,355.189,308.101,0.1815,,,278,1,0.25,149.029,309.336,0.1815
382.374,307.9,0.1815,um,Spot,Position,1,1000000271,271,fill,272,1,0.25,382.374,307.9,0.1815,,,281,1,0.25,172.915,310.085,0.1815
